Name,Product,email
Name_1234_1028,Openssl,user1@domain.com
Name_1234_1029,Exchange 2016,user2@domain.com
Name_1234_1030,Frog CMS,user3@domain.com
Name_1234_1031,FrontPage,user4@domain.com
Name_1234_1032,Adobe Acrobat,user5@domain.com
Name_1234_1033,idreamsoft iCMS,user6@domain.com
Name_1234_1034,freeSSHd,user7@domain.com,8.8.8.8,fooo,moo
Name_1234_1035,WordPress,user8@domain.com
Name_1234_1036,Security Guard,user9@domain.com
Name_1234_1037,Medtronic MyCareLink,user1@domain.com,9.9.9.9
